formal_n,lambda_like,observable,size_pair,mass_lo,mass_hi,delta_lo,delta_hi,crossing_mass
2.780000,1.000000,xi_over_L,6-8,0.950000,1.000000,-0.0152756161,0.0276748513,0.9677828287
2.780000,1.000000,xi_over_L,8-10,1.000000,1.050000,0.0034138954,-0.0075165860,1.0156164000
2.780000,1.000000,xi_over_L,8-10,1.050000,1.100000,-0.0075165860,0.0460296731,1.0570187779
2.780000,1.000000,xi_over_L,10-12,0.900000,0.950000,0.0000000000,-0.0664011582,0.9000000000
2.780000,1.000000,xi_over_L,10-12,0.950000,1.000000,-0.0664011582,0.0266070857,0.9856963831
2.780000,1.000000,xi_over_L,10-12,1.050000,1.100000,0.0502757550,-0.0040240732,1.0962945802
2.780000,1.000000,binder,10-12,0.900000,0.950000,-0.0004826089,0.0000254389,0.9474964068
2.780000,1.000000,binder,10-12,0.950000,1.000000,0.0000254389,-0.0008297226,0.9514873740
2.780000,1.050000,xi_over_L,8-10,0.900000,0.950000,0.0224859550,-0.0372053787,0.9188351923
2.780000,1.050000,xi_over_L,8-10,0.950000,1.000000,-0.0372053787,0.0000000000,1.0000000000
2.780000,1.050000,xi_over_L,8-10,1.000000,1.050000,0.0000000000,0.0173513076,1.0000000000
2.780000,1.050000,xi_over_L,10-12,0.900000,0.950000,-0.0499089467,0.0803385871,0.9191592675
2.780000,1.050000,xi_over_L,10-12,0.950000,1.000000,0.0803385871,-0.0262712391,0.9876787910
2.780000,1.050000,xi_over_L,10-12,1.000000,1.050000,-0.0262712391,0.0251074457,1.0255662822
2.780000,1.050000,xi_over_L,10-12,1.050000,1.100000,0.0251074457,-0.0638010995,1.0641198158
2.780000,1.100000,xi_over_L,6-8,1.000000,1.050000,0.0052788015,-0.0081743051,1.0196192659
2.780000,1.100000,xi_over_L,6-8,1.050000,1.100000,-0.0081743051,0.0840412783,1.0544321712
2.780000,1.100000,xi_over_L,8-10,0.900000,0.950000,0.0711411091,-0.0223298963,0.9380551749
2.780000,1.100000,xi_over_L,8-10,0.950000,1.000000,-0.0223298963,0.0179707564,0.9777041373
2.780000,1.100000,xi_over_L,10-12,0.950000,1.000000,-0.0052947768,0.0827970330,0.9530052605
2.780000,1.100000,xi_over_L,10-12,1.050000,1.100000,0.0205366716,0.0000000000,1.1000000000
2.780000,1.150000,xi_over_L,8-10,1.000000,1.050000,0.0241408439,-0.0038973495,1.0430499276
2.780000,1.150000,xi_over_L,8-10,1.050000,1.100000,-0.0038973495,0.1032653613,1.0518184261
2.780000,1.150000,xi_over_L,10-12,0.950000,1.000000,-0.0317966019,0.0032763076,0.9953292903
2.780000,1.150000,xi_over_L,10-12,1.050000,1.100000,0.0554334310,-0.0810593596,1.0703063586
2.780000,1.150000,binder,10-12,1.050000,1.100000,-0.0008194283,0.0000874053,1.0951807421
2.780000,1.200000,xi_over_L,8-10,0.900000,0.950000,-0.0191832049,0.0705948600,0.9106836814
2.780000,1.200000,xi_over_L,8-10,0.950000,1.000000,0.0705948600,-0.0286788972,0.9855556504
2.780000,1.200000,xi_over_L,8-10,1.000000,1.050000,-0.0286788972,0.0181421476,1.0306260756
2.780000,1.200000,xi_over_L,10-12,0.900000,0.950000,0.0172847296,-0.0891804735,0.9081175488
2.780000,1.200000,xi_over_L,10-12,0.950000,1.000000,-0.0891804735,0.0566392933,0.9805790070
2.780000,1.200000,xi_over_L,10-12,1.000000,1.050000,0.0566392933,-0.0169061313,1.0385063337
2.780000,1.200000,xi_over_L,10-12,1.050000,1.100000,-0.0169061313,0.0002723718,1.0992072307
