formal_n,coupling_id,eta_estimator,anchor_method,eta_proxy,eta_anchor,gamma_anchor,transfer_factor_raw,transfer_factor_median,transfer_factor_cv,transfer_stability_pass,eta_transfer_corrected,gamma_phi_transfer_corrected,target_ratio_transfer,status_transfer
2.780000,n2.78_m1.000_lam1.000,chi_connected,de2,2.0279973965,0.0320000000,0.4620000000,63.3749186406,63.3749186406,0.0630325763,True,0.0320000000,0.4620000000,0.5372093023,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.050,chi_connected,de2,1.9354738290,0.0320000000,0.4620000000,60.4835571563,63.3749186406,0.0630325763,True,0.0305400602,0.4409221188,0.5127001381,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.100,chi_connected,de2,2.1538979090,0.0320000000,0.4620000000,67.3093096562,63.3749186406,0.0630325763,True,0.0339865984,0.4906815145,0.5705599006,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.200,chi_connected,de2,2.2138556839,0.0320000000,0.4620000000,69.1829901219,63.3749186406,0.0630325763,True,0.0349326789,0.5043405518,0.5864425021,stable_transfer_candidate
2.780000,n2.78_m1.050_lam1.150,chi_connected,de2,1.8713378306,0.0320000000,0.4620000000,58.4793072062,63.3749186406,0.0630325763,True,0.0295280510,0.4263112365,0.4957107401,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.000,kmin_structure,de2,1.7112077892,0.0320000000,0.4620000000,53.4752434125,53.7929295156,0.0293975475,True,0.0318110169,0.4592715563,0.5340366934,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.050,kmin_structure,de2,1.8330390265,0.0320000000,0.4620000000,57.2824695781,53.7929295156,0.0293975475,True,0.0340758357,0.4919698775,0.5720579971,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.100,kmin_structure,de2,1.6840673577,0.0320000000,0.4620000000,52.6271049281,53.7929295156,0.0293975475,True,0.0313064816,0.4519873280,0.5255666605,stable_transfer_candidate
2.780000,n2.78_m1.000_lam1.200,kmin_structure,de2,1.7213737445,0.0320000000,0.4620000000,53.7929295156,53.7929295156,0.0293975475,True,0.0320000000,0.4620000000,0.5372093023,stable_transfer_candidate
2.780000,n2.78_m1.050_lam1.150,kmin_structure,de2,1.7274386716,0.0320000000,0.4620000000,53.9824584875,53.7929295156,0.0293975475,True,0.0321127458,0.4636277675,0.5391020553,stable_transfer_candidate
2.900000,n2.90_m0.430_lam0.450,chi_connected,de2,1.8598264838,0.0250000000,0.3670000000,74.3930593520,74.3930593520,0.2682994010,False,,,,unstable_transfer_candidate
2.900000,n2.90_m0.430_lam0.500,chi_connected,de2,0.8863734297,0.0250000000,0.3670000000,35.4549371880,74.3930593520,0.2682994010,False,,,,unstable_transfer_candidate
2.900000,n2.90_m0.430_lam0.550,chi_connected,de2,1.7007838996,0.0250000000,0.3670000000,68.0313559840,74.3930593520,0.2682994010,False,,,,unstable_transfer_candidate
2.900000,n2.90_m0.430_lam0.600,chi_connected,de2,2.1051887703,0.0250000000,0.3670000000,84.2075508120,74.3930593520,0.2682994010,False,,,,unstable_transfer_candidate
2.900000,n2.90_m0.430_lam0.650,chi_connected,de2,2.2208265746,0.0250000000,0.3670000000,88.8330629840,74.3930593520,0.2682994010,False,,,,unstable_transfer_candidate
2.900000,n2.90_m0.430_lam0.450,kmin_structure,de2,1.8929329646,0.0250000000,0.3670000000,75.7173185840,71.1423253600,0.0449510123,True,0.0266076904,0.3906008945,0.4541870866,stable_transfer_candidate
2.900000,n2.90_m0.430_lam0.500,kmin_structure,de2,1.7075738882,0.0250000000,0.3670000000,68.3029555280,71.1423253600,0.0449510123,True,0.0240022220,0.3523526192,0.4097123479,stable_transfer_candidate
2.900000,n2.90_m0.430_lam0.550,kmin_structure,de2,1.8705007158,0.0250000000,0.3670000000,74.8200286320,71.1423253600,0.0449510123,True,0.0262923753,0.3859720689,0.4488047313,stable_transfer_candidate
2.900000,n2.90_m0.430_lam0.600,kmin_structure,de2,1.6985798053,0.0250000000,0.3670000000,67.9431922120,71.1423253600,0.0449510123,True,0.0238757982,0.3504967179,0.4075543231,stable_transfer_candidate
2.900000,n2.90_m0.430_lam0.650,kmin_structure,de2,1.7785581340,0.0250000000,0.3670000000,71.1423253600,71.1423253600,0.0449510123,True,0.0250000000,0.3670000000,0.4267441860,stable_transfer_candidate
3.000000,n3.00_m1.500_lam0.400,chi_connected,de2,2.1257617354,0.0190000000,0.2940000000,111.8821966000,111.8821966000,0.1051893008,False,,,,unstable_transfer_candidate
3.000000,n3.00_m1.500_lam0.450,chi_connected,de2,2.4116151682,0.0190000000,0.2940000000,126.9271141158,111.8821966000,0.1051893008,False,,,,unstable_transfer_candidate
3.000000,n3.00_m1.500_lam0.500,chi_connected,de2,1.7359795244,0.0190000000,0.2940000000,91.3673433895,111.8821966000,0.1051893008,False,,,,unstable_transfer_candidate
3.000000,n3.00_m1.500_lam0.550,chi_connected,de2,2.1387391242,0.0190000000,0.2940000000,112.5652170632,111.8821966000,0.1051893008,False,,,,unstable_transfer_candidate
3.000000,n3.00_m1.500_lam0.600,chi_connected,de2,2.0015416763,0.0190000000,0.2940000000,105.3442987526,111.8821966000,0.1051893008,False,,,,unstable_transfer_candidate
3.000000,n3.00_m1.500_lam0.400,kmin_structure,de2,1.9054520112,0.0190000000,0.2940000000,100.2869479579,94.1349172316,0.0620504665,True,0.0202417134,0.3132138803,0.3642021864,stable_transfer_candidate
3.000000,n3.00_m1.500_lam0.450,kmin_structure,de2,1.7939294429,0.0190000000,0.2940000000,94.4173391000,94.1349172316,0.0620504665,True,0.0190570035,0.2948820535,0.3428861087,stable_transfer_candidate
3.000000,n3.00_m1.500_lam0.500,kmin_structure,de2,1.5680536055,0.0190000000,0.2940000000,82.5291371316,94.1349172316,0.0620504665,True,0.0166575130,0.2577530956,0.2997129018,stable_transfer_candidate
3.000000,n3.00_m1.500_lam0.550,kmin_structure,de2,1.7638986962,0.0190000000,0.2940000000,92.8367734842,94.1349172316,0.0620504665,True,0.0187379853,0.2899456674,0.3371461249,stable_transfer_candidate
3.000000,n3.00_m1.500_lam0.600,kmin_structure,de2,1.7885634274,0.0190000000,0.2940000000,94.1349172316,94.1349172316,0.0620504665,True,0.0190000000,0.2940000000,0.3418604651,stable_transfer_candidate
